Name	UUID	URI
Media	e89f7d12-3494-54d1-8411-f7d8b9ae1f27	https://github.com/JunoLab/Media.jl.git
KNearestCenters	4dca28ae-43b8-11eb-1f5e-d55054101997	https://github.com/sadit/KNearestCenters.jl.git
mvndst_jll	78cd126e-648e-5a4b-8892-63be0e833cb1	https://github.com/JuliaBinaryWrappers/mvndst_jll.jl.git
Bangumis	ad8dfdfc-bf80-4d0a-b5f0-e1f877673ab7	https://github.com/yqwu905/Bangumis.jl.git
TheCannon	3c28d9fa-eaec-11e8-3371-6131c0bd32f6	https://github.com/ajwheeler/TheCannon.jl.git
DynamicPipe	e2608387-6d34-4676-ab1d-f98b51cb1878	https://github.com/ConallTimoney/DynamicPipe.jl.git
RLIBM_32_jll	89926bb2-2aab-59d9-87f9-76bad54e3fa2	https://github.com/JuliaBinaryWrappers/RLIBM_32_jll.jl.git
EncodedArrays	97725368-735e-11e9-0dd7-6bf34c3b13a8	https://github.com/oschulz/EncodedArrays.jl.git
NestedEnvironments	cb6df31d-e3f2-4e74-89c5-02b08550c949	https://github.com/JinraeKim/NestedEnvironments.jl.git
SCS_jll	f4f2fc5b-1d94-523c-97ea-2ab488bedf4b	https://github.com/JuliaBinaryWrappers/SCS_jll.jl.git
Dhall	f7fc0f56-fd22-44bd-b234-bafb44a5fc23	https://github.com/jw3126/Dhall.jl.git
LabMaze	bba4e509-098c-4c3e-9e4f-ff6e34834d9e	https://github.com/tachukao/LabMaze.jl.git
Infernal	4aa08641-d763-4623-9c5b-cef742500064	https://github.com/cossio/Infernal.jl.git
CacheServers	a921213e-d44a-5460-ac04-5d720a99ba71	https://github.com/QuantumBFS/CacheServers.jl.git
ConsoleCodes	56af3beb-dadf-49b6-97be-f243832a24ad	https://gitlab.com/ExpandingMan/ConsoleCodes.jl.git
LowRankOps	0ea32739-31af-43e6-82ee-ebe6dcf00a6f	https://github.com/andrew-saydjari/LowRankOps.jl.git
LibCEED	2cd74e05-b976-4426-91fa-5f1011f8952b	https://github.com/CEED/libCEED.git
FSInteraction	39fdbc7a-862a-11e9-015b-61723af7393f	https://github.com/ruizhi92/FSInteraction.jl.git
MultilayerFiber	5163218f-e962-4d1b-9436-42cf34da72ec	https://github.com/wsshin/MultilayerFiber.jl.git
Xorg_kbproto_jll	060dd47b-79ec-5ba1-a7b2-f4f2f7dcdd0f	https://github.com/JuliaBinaryWrappers/Xorg_kbproto_jll.jl.git
PlutoProfile	ee419aa8-929d-45cd-acf6-76bd043cd7ba	https://github.com/gdalle/PlutoProfile.jl.git
HNSW	540f64fa-c57e-11e8-081c-41422cda4629	https://github.com/JuliaNeighbors/HNSW.jl.git
EponymKeywordSyntax	d38a42db-3801-4ba0-8d69-b527598ec48c	https://github.com/jw3126/EponymKeywordSyntax.jl.git
